subject.exp,gender,age,list,property.type,exception.type,condition,item.no,statement,response
1,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
1,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
1,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
1,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
1,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
1,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
1,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
1,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
2,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
2,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
2,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
2,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
2,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
2,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
2,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
2,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
3,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
3,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
3,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
3,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
3,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
3,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
3,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
3,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
4,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
4,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
4,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
4,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
4,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
4,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
4,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
4,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
5,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
5,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
5,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
5,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
5,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
5,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
5,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
5,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
6,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
6,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
6,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
6,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
6,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
6,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
6,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
6,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
7,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
7,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
7,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
7,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
7,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
7,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
7,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
7,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
8,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
8,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,0
8,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
8,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
8,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
8,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
8,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
8,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
9,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
9,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
9,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
9,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
9,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
9,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
9,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
9,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
10,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
10,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
10,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
10,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
10,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
10,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
10,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
10,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
11,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
11,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
11,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
11,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
11,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
11,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
11,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
11,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
12,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
12,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
12,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
12,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
12,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
12,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
12,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
12,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
13,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
13,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
14,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
14,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
