submission_id,RT,age,comments,education,endTime,experiment_id,gender,languages,option1,option2,response,startTime,timeSpent,trial_name,trial_number
1225,6258,20,NA,Graduated High School,1604444222061,44,female,German,Metal,Jazz,Metal,1604444185627,0.6072333333333333,forced_choice,1
1225,3237,20,NA,Graduated High School,1604444222061,44,female,German,Biology,Logic,Logic,1604444185627,0.6072333333333333,forced_choice,2
1225,1704,20,NA,Graduated High School,1604444222061,44,female,German,Mountains,Beach,Beach,1604444185627,0.6072333333333333,forced_choice,3
1224,3337,24,NA,Graduated High School,1604433964876,44,female,"Russian, Georgian, German",Mountains,Beach,Beach,1604433938448,0.4404666666666667,forced_choice,1
1224,2198,24,NA,Graduated High School,1604433964876,44,female,"Russian, Georgian, German",Metal,Jazz,Jazz,1604433938448,0.4404666666666667,forced_choice,2
1224,1828,24,NA,Graduated High School,1604433964876,44,female,"Russian, Georgian, German",Biology,Logic,Biology,1604433938448,0.4404666666666667,forced_choice,3
1223,12299,21,NA,Graduated High School,1604423621345,44,female,NA,Mountains,Beach,Beach,1604423563027,0.9719666666666666,forced_choice,1
1223,6937,21,NA,Graduated High School,1604423621345,44,female,NA,Metal,Jazz,Jazz,1604423563027,0.9719666666666666,forced_choice,2
1223,3148,21,NA,Graduated High School,1604423621345,44,female,NA,Biology,Logic,Biology,1604423563027,0.9719666666666666,forced_choice,3
1222,5629,21,NA,Graduated High School,1604387105025,44,female,german,Metal,Jazz,Jazz,1604387068261,0.6127333333333334,forced_choice,1
1222,3087,21,NA,Graduated High School,1604387105025,44,female,german,Biology,Logic,Biology,1604387068261,0.6127333333333334,forced_choice,2
1222,3334,21,NA,Graduated High School,1604387105025,44,female,german,Mountains,Beach,Beach,1604387068261,0.6127333333333334,forced_choice,3
1221,6299,22,NA,Graduated High School,1604335203089,44,male,NA,Mountains,Beach,Mountains,1604335153552,0.8256166666666667,forced_choice,1
1221,5228,22,NA,Graduated High School,1604335203089,44,male,NA,Biology,Logic,Biology,1604335153552,0.8256166666666667,forced_choice,2
1221,4121,22,NA,Graduated High School,1604335203089,44,male,NA,Metal,Jazz,Jazz,1604335153552,0.8256166666666667,forced_choice,3
1220,6672,26,NA,Graduated High School,1604327781090,44,female,German,Biology,Logic,Biology,1604327748516,0.5429,forced_choice,1
1220,3345,26,NA,Graduated High School,1604327781090,44,female,German,Metal,Jazz,Jazz,1604327748516,0.5429,forced_choice,2
1220,2780,26,NA,Graduated High School,1604327781090,44,female,German,Mountains,Beach,Beach,1604327748516,0.5429,forced_choice,3
1219,4514,20,NA,Graduated High School,1604311888966,44,female,german,Biology,Logic,Biology,1604311835396,0.8928333333333334,forced_choice,1
1219,3787,20,NA,Graduated High School,1604311888966,44,female,german,Metal,Jazz,Jazz,1604311835396,0.8928333333333334,forced_choice,2
1219,5447,20,NA,Graduated High School,1604311888966,44,female,german,Mountains,Beach,Mountains,1604311835396,0.8928333333333334,forced_choice,3
1218,8346,24,NA,Graduated High School,1604265088296,44,female,German,Biology,Logic,Biology,1604265051806,0.6081666666666666,forced_choice,1
1218,1799,24,NA,Graduated High School,1604265088296,44,female,German,Mountains,Beach,Mountains,1604265051806,0.6081666666666666,forced_choice,2
1218,1619,24,NA,Graduated High School,1604265088296,44,female,German,Metal,Jazz,Jazz,1604265051806,0.6081666666666666,forced_choice,3
1217,8311,28,NA,Graduated College,1604250506838,44,male,Spanish,Metal,Jazz,Jazz,1604250435265,1.1928833333333333,forced_choice,1
1217,8596,28,NA,Graduated College,1604250506838,44,male,Spanish,Mountains,Beach,Mountains,1604250435265,1.1928833333333333,forced_choice,2
1217,4514,28,NA,Graduated College,1604250506838,44,male,Spanish,Biology,Logic,Logic,1604250435265,1.1928833333333333,forced_choice,3
1216,10662,23,NA,Graduated High School,1604243783101,44,male,Arabic,Biology,Logic,Logic,1604243561341,3.696,forced_choice,1
1216,9708,23,NA,Graduated High School,1604243783101,44,male,Arabic,Metal,Jazz,Jazz,1604243561341,3.696,forced_choice,2
1216,16190,23,NA,Graduated High School,1604243783101,44,male,Arabic,Mountains,Beach,Mountains,1604243561341,3.696,forced_choice,3
1215,6816,23,NA,Graduated High School,1604243724446,44,female,"German, Polish",Mountains,Beach,Beach,1604243664664,0.9963666666666666,forced_choice,1
1215,6314,23,NA,Graduated High School,1604243724446,44,female,"German, Polish",Biology,Logic,Logic,1604243664664,0.9963666666666666,forced_choice,2
1215,2946,23,NA,Graduated High School,1604243724446,44,female,"German, Polish",Metal,Jazz,Jazz,1604243664664,0.9963666666666666,forced_choice,3
1214,8412,22,NA,Graduated High School,1604072047086,44,male,german,Mountains,Beach,Mountains,1604071989787,0.9549833333333333,forced_choice,1
1214,3318,22,NA,Graduated High School,1604072047086,44,male,german,Biology,Logic,Logic,1604071989787,0.9549833333333333,forced_choice,2
1214,10903,22,NA,Graduated High School,1604072047086,44,male,german,Metal,Jazz,Metal,1604071989787,0.9549833333333333,forced_choice,3
1211,6311,20,NA,Graduated High School,1603973868583,44,female,German,Biology,Logic,Biology,1603973828011,0.6762,forced_choice,1
1211,2781,20,NA,Graduated High School,1603973868583,44,female,German,Metal,Jazz,Jazz,1603973828011,0.6762,forced_choice,2
1211,3749,20,NA,Graduated High School,1603973868583,44,female,German,Mountains,Beach,Mountains,1603973828011,0.6762,forced_choice,3
1210,1679,23,NA,Graduated High School,1603969223260,44,male,German,Biology,Logic,Logic,1603969204224,0.31726666666666664,forced_choice,1
1210,1263,23,NA,Graduated High School,1603969223260,44,male,German,Mountains,Beach,Mountains,1603969204224,0.31726666666666664,forced_choice,2
1210,1113,23,NA,Graduated High School,1603969223260,44,male,German,Metal,Jazz,Jazz,1603969204224,0.31726666666666664,forced_choice,3
1209,8317,20,NA,Graduated High School,1603967861785,44,female,German,Metal,Jazz,Jazz,1603967830979,0.5134333333333333,forced_choice,1
1209,3260,20,NA,Graduated High School,1603967861785,44,female,German,Mountains,Beach,Beach,1603967830979,0.5134333333333333,forced_choice,2
1209,2956,20,NA,Graduated High School,1603967861785,44,female,German,Biology,Logic,Biology,1603967830979,0.5134333333333333,forced_choice,3
1208,11168,20,NA,Graduated High School,1603964160701,44,male,German/English,Biology,Logic,Logic,1603964115651,0.7508333333333334,forced_choice,1
1208,2237,20,NA,Graduated High School,1603964160701,44,male,German/English,Metal,Jazz,Jazz,1603964115651,0.7508333333333334,forced_choice,2
1208,3017,20,NA,Graduated High School,1603964160701,44,male,German/English,Mountains,Beach,Beach,1603964115651,0.7508333333333334,forced_choice,3
1207,6855,21,NA,Graduated High School,1603963087567,44,female,german,Metal,Jazz,Jazz,1603963050769,0.6133,forced_choice,1
1207,2586,21,NA,Graduated High School,1603963087567,44,female,german,Mountains,Beach,Mountains,1603963050769,0.6133,forced_choice,2
1207,4671,21,NA,Graduated High School,1603963087567,44,female,german,Biology,Logic,Biology,1603963050769,0.6133,forced_choice,3
1206,6864,32,NA,Higher Degree,1603951391685,44,male,Farsi,Metal,Jazz,Jazz,1603951107976,4.728483333333333,forced_choice,1
1206,1973,32,NA,Higher Degree,1603951391685,44,male,Farsi,Mountains,Beach,Beach,1603951107976,4.728483333333333,forced_choice,2
1206,2184,32,NA,Higher Degree,1603951391685,44,male,Farsi,Biology,Logic,Logic,1603951107976,4.728483333333333,forced_choice,3
1205,3769,19,"I may or may not have participated twice because I felt like nobody's gonna choose ""mountains"" and I thought that's sad.",Graduated High School,1603937186048,44,female,German,Biology,Logic,Logic,1603937046892,2.3192666666666666,forced_choice,1
1205,8804,19,"I may or may not have participated twice because I felt like nobody's gonna choose ""mountains"" and I thought that's sad.",Graduated High School,1603937186048,44,female,German,Mountains,Beach,Mountains,1603937046892,2.3192666666666666,forced_choice,2
1205,1361,19,"I may or may not have participated twice because I felt like nobody's gonna choose ""mountains"" and I thought that's sad.",Graduated High School,1603937186048,44,female,German,Metal,Jazz,Metal,1603937046892,2.3192666666666666,forced_choice,3
1204,4904,19,NA,NA,1603912270966,44,female,German,Mountains,Beach,Beach,1603912229808,0.6859666666666666,forced_choice,1
1204,4524,19,NA,NA,1603912270966,44,female,German,Biology,Logic,Logic,1603912229808,0.6859666666666666,forced_choice,2
1204,1318,19,NA,NA,1603912270966,44,female,German,Metal,Jazz,Jazz,1603912229808,0.6859666666666666,forced_choice,3
1198,11115,30,NA,Graduated College,1603898738717,44,female,turkish,Mountains,Beach,Mountains,1603898529966,3.4791833333333333,forced_choice,1
1198,3026,30,NA,Graduated College,1603898738717,44,female,turkish,Metal,Jazz,Jazz,1603898529966,3.4791833333333333,forced_choice,2
1198,3111,30,NA,Graduated College,1603898738717,44,female,turkish,Biology,Logic,Biology,1603898529966,3.4791833333333333,forced_choice,3
1197,3032,21,NA,Graduated High School,1603898305481,44,male,German,Metal,Jazz,Jazz,1603898258047,0.7905666666666666,forced_choice,1
1197,1810,21,NA,Graduated High School,1603898305481,44,male,German,Mountains,Beach,Mountains,1603898258047,0.7905666666666666,forced_choice,2
