participant,lexicality,spelling,button,response,accuracy,previous_accuracy,rt,nletters,CELEX_frequency
1,W,across,1,W,1,1,464,6,5000
1,W,act,1,W,1,1,577,3,3354
1,W,action,1,W,1,1,461,6,3228
1,N,adbu,2,N,1,1,467,4,0
1,W,along,1,W,1,1,515,5,5267
1,W,also,1,W,1,1,527,4,16496
1,W,although,1,W,1,1,466,8,5424
1,W,always,1,W,1,1,451,6,11850
1,N,ammict,2,N,1,1,649,6,0
1,W,among,1,W,1,1,524,5,5090
1,W,answer,1,W,1,1,527,6,3161
1,W,areas,1,W,1,1,603,5,2549
1,W,around,1,W,1,1,564,6,9011
1,W,art,1,W,1,1,606,3,2972
1,N,ascude,2,N,1,1,584,6,0
1,N,ashpen,2,N,1,1,698,6,0
1,W,asked,1,W,1,1,541,5,8385
1,N,aturts,2,N,1,1,632,6,0
1,W,away,1,W,1,1,443,4,12155
1,W,bad,1,W,1,1,540,3,3755
1,N,baise,2,N,1,1,635,5,0
1,N,bangboy,2,N,1,1,633,7,0
1,W,bank,1,W,1,1,536,4,2385
1,N,bankrough,2,N,1,1,626,9,0
1,N,bardays,2,N,1,1,558,7,0
1,N,basots,2,N,1,1,708,6,0
1,W,became,1,W,1,1,763,6,4792
1,N,beeched,1,W,0,1,727,7,0
1,N,begrille,2,N,1,1,561,8,0
1,N,behoil,2,N,1,1,624,6,0
1,N,bejove,1,W,0,1,843,6,0
1,N,bempled,2,N,1,1,499,7,0
1,N,benaft,2,N,1,1,689,6,0
1,W,best,1,W,1,1,424,4,6187
1,W,better,1,W,1,1,546,6,8101
1,W,beyond,1,W,1,1,533,6,2757
1,N,billaged,2,N,1,1,523,8,0
1,N,bired,2,N,1,1,494,5,0
1,W,bit,1,W,1,1,536,3,4307
1,W,blood,1,W,1,1,425,5,2536
1,N,blossed,2,N,1,1,799,7,0
1,N,bluffmess,2,N,1,1,589,9,0
1,N,boached,2,N,1,1,686,7,0
1,W,body,1,W,1,1,500,4,5243
1,W,book,1,W,1,1,528,4,4932
1,N,boonsless,2,N,1,1,690,9,0
1,W,boy,1,W,1,1,536,3,3876
1,N,braggrass,2,N,1,1,595,9,0
1,N,brap,2,N,1,1,547,4,0
1,N,brater,2,N,1,1,591,6,0
1,N,bridgemalts,2,N,1,0,670,11,0
1,W,bring,1,W,1,1,649,5,3252
1,W,british,1,W,1,1,456,7,6557
1,W,brought,1,W,1,1,606,7,4460
1,N,buckoche,2,N,1,1,509,8,0
1,W,business,1,W,1,1,546,8,4234
1,N,cabe,2,N,1,1,753,4,0
1,N,cadlor,2,N,1,1,531,6,0
1,W,called,1,W,1,1,538,6,7490
1,W,came,1,W,1,1,523,4,12508
1,W,cannot,1,W,1,1,494,6,4435
1,W,care,1,W,1,1,542,4,3128
1,N,cealings,2,N,1,1,740,8,0
1,N,cenflel,2,N,1,1,603,7,0
1,W,certain,1,W,1,1,492,7,5226
1,N,chacloned,2,N,1,1,506,9,0
1,N,chaked,2,N,1,1,587,6,0
1,W,changed,1,W,1,1,497,7,4105
1,N,cheld,2,N,1,1,529,5,0
1,W,child,1,W,1,1,573,5,7645
1,W,children,1,W,1,1,546,8,11744
1,N,chompy,2,N,1,1,745,6,0
1,W,church,1,W,1,1,443,6,2844
1,N,cied,2,N,1,1,1104,4,0
1,W,city,1,W,1,1,440,4,3796
1,N,clammest,2,N,1,1,798,8,0
1,W,clear,1,W,1,1,485,5,4218
1,W,close,1,W,1,1,497,5,3636
1,N,clothmate,2,N,1,1,740,9,0
1,N,coaxhound,2,N,1,1,639,9,0
1,N,coirs,1,W,0,1,694,5,0
1,W,cold,1,W,1,1,461,4,3236
1,W,coming,1,W,1,1,606,6,4050
1,N,compends,1,W,0,1,544,8,0
1,N,conceeled,2,N,1,1,557,9,0
1,W,concerned,1,W,1,1,508,9,2492
1,N,conculls,2,N,1,1,792,8,0
1,N,congides,2,N,1,1,667,8,0
1,N,congues,2,N,1,1,557,7,0
1,W,control,1,W,1,1,474,7,3876
1,N,cornan,2,N,1,1,604,6,0
1,W,could,1,W,1,1,505,5,33660
1,W,countries,1,W,1,1,581,9,3979
1,W,course,1,W,1,1,525,6,11914
1,N,cowat,2,N,1,1,546,5,0
1,N,cowrurl,2,N,1,1,520,7,0
1,N,crawbiers,2,N,1,1,559,9,0
1,N,crerps,2,N,1,1,560,6,0
1,N,cribles,2,N,1,0,695,7,0
1,N,crobby,2,N,1,1,530,6,0
1,N,crovos,2,N,1,1,642,6,0
1,N,crynching,2,N,1,1,557,9,0
1,N,cucking,2,N,1,1,718,7,0
1,N,daklies,2,N,1,1,636,7,0
1,N,dape,2,N,1,1,630,4,0
1,W,day,1,W,1,1,457,3,13729
1,N,delinds,2,N,1,1,597,7,0
1,N,detissed,2,N,1,1,548,8,0
1,W,different,1,W,1,1,565,9,7170
1,N,disracks,2,N,1,1,522,8,0
1,N,docing,2,N,1,1,593,6,0
1,W,doctor,1,W,1,1,497,6,2376
1,W,done,1,W,1,1,492,4,7282
1,W,door,1,W,1,1,541,4,5891
