submission_id,key_p_is_for,timeSpent,trial_number,condition,correctness,RT
1302,square,7.883233333333333,1,incongruent,correct,542
1302,square,7.883233333333333,2,incongruent,correct,438
1302,square,7.883233333333333,3,incongruent,correct,429
1302,square,7.883233333333333,4,congruent,correct,456
1302,square,7.883233333333333,5,incongruent,correct,422
1302,square,7.883233333333333,6,incongruent,correct,341
1302,square,7.883233333333333,7,incongruent,correct,407
1302,square,7.883233333333333,8,congruent,correct,424
1302,square,7.883233333333333,9,incongruent,correct,336
1302,square,7.883233333333333,10,incongruent,correct,360
1302,square,7.883233333333333,11,congruent,incorrect,354
1302,square,7.883233333333333,12,congruent,correct,14008
1302,square,7.883233333333333,13,congruent,correct,476
1302,square,7.883233333333333,14,incongruent,correct,432
1302,square,7.883233333333333,15,congruent,correct,469
1302,square,7.883233333333333,16,incongruent,correct,488
1302,square,7.883233333333333,17,incongruent,correct,380
1302,square,7.883233333333333,18,congruent,correct,470
1302,square,7.883233333333333,19,congruent,correct,346
1302,square,7.883233333333333,20,incongruent,correct,438
1302,square,7.883233333333333,1,incongruent,correct,524
1302,square,7.883233333333333,2,incongruent,correct,448
1302,square,7.883233333333333,3,incongruent,correct,360
1302,square,7.883233333333333,4,incongruent,correct,420
1302,square,7.883233333333333,5,incongruent,correct,402
1302,square,7.883233333333333,6,incongruent,correct,353
1302,square,7.883233333333333,7,incongruent,correct,395
1302,square,7.883233333333333,8,incongruent,incorrect,389
1302,square,7.883233333333333,9,congruent,correct,622
1302,square,7.883233333333333,10,incongruent,correct,465
1302,square,7.883233333333333,11,congruent,correct,409
1302,square,7.883233333333333,12,incongruent,correct,394
1302,square,7.883233333333333,13,incongruent,correct,446
1302,square,7.883233333333333,14,congruent,correct,542
1302,square,7.883233333333333,15,congruent,correct,349
1302,square,7.883233333333333,16,incongruent,correct,441
1302,square,7.883233333333333,17,incongruent,correct,411
1302,square,7.883233333333333,18,incongruent,correct,349
1302,square,7.883233333333333,19,incongruent,correct,326
1302,square,7.883233333333333,20,congruent,correct,400
1302,square,7.883233333333333,21,incongruent,correct,416
1302,square,7.883233333333333,22,congruent,correct,410
1302,square,7.883233333333333,23,congruent,correct,353
1302,square,7.883233333333333,24,incongruent,correct,423
1302,square,7.883233333333333,25,incongruent,correct,624
1302,square,7.883233333333333,26,congruent,correct,301
1302,square,7.883233333333333,27,congruent,correct,325
1302,square,7.883233333333333,28,incongruent,correct,451
1302,square,7.883233333333333,29,incongruent,correct,497
1302,square,7.883233333333333,30,incongruent,correct,402
1302,square,7.883233333333333,31,congruent,correct,315
1302,square,7.883233333333333,32,incongruent,correct,359
1302,square,7.883233333333333,33,congruent,incorrect,361
1302,square,7.883233333333333,34,congruent,correct,329
1302,square,7.883233333333333,35,incongruent,correct,428
1302,square,7.883233333333333,36,incongruent,correct,336
1302,square,7.883233333333333,37,congruent,correct,333
1302,square,7.883233333333333,38,congruent,correct,338
1302,square,7.883233333333333,39,incongruent,correct,516
1302,square,7.883233333333333,40,congruent,correct,363
1302,square,7.883233333333333,41,incongruent,correct,412
1302,square,7.883233333333333,42,congruent,correct,465
1302,square,7.883233333333333,43,incongruent,correct,477
1302,square,7.883233333333333,44,incongruent,correct,400
1302,square,7.883233333333333,45,incongruent,correct,415
1302,square,7.883233333333333,46,incongruent,correct,428
1302,square,7.883233333333333,47,congruent,correct,340
1302,square,7.883233333333333,48,incongruent,correct,555
1302,square,7.883233333333333,49,incongruent,correct,323
1302,square,7.883233333333333,50,congruent,correct,469
1302,square,7.883233333333333,51,congruent,correct,327
1302,square,7.883233333333333,52,incongruent,correct,362
1302,square,7.883233333333333,53,congruent,correct,350
1302,square,7.883233333333333,54,congruent,correct,339
1302,square,7.883233333333333,55,congruent,correct,459
1302,square,7.883233333333333,56,congruent,correct,302
1302,square,7.883233333333333,57,congruent,correct,344
1302,square,7.883233333333333,58,incongruent,correct,403
1302,square,7.883233333333333,59,congruent,correct,292
1302,square,7.883233333333333,60,incongruent,incorrect,286
1302,square,7.883233333333333,61,congruent,correct,323
1302,square,7.883233333333333,62,congruent,correct,375
1302,square,7.883233333333333,63,congruent,correct,358
1302,square,7.883233333333333,64,incongruent,correct,382
1302,square,7.883233333333333,65,congruent,correct,375
1302,square,7.883233333333333,66,incongruent,correct,414
1302,square,7.883233333333333,67,congruent,correct,395
1302,square,7.883233333333333,68,congruent,correct,287
1302,square,7.883233333333333,69,incongruent,correct,367
1302,square,7.883233333333333,70,congruent,correct,391
1302,square,7.883233333333333,71,congruent,correct,361
1302,square,7.883233333333333,72,incongruent,incorrect,321
1302,square,7.883233333333333,73,incongruent,correct,458
1302,square,7.883233333333333,74,congruent,correct,452
1302,square,7.883233333333333,75,congruent,correct,343
1302,square,7.883233333333333,76,incongruent,correct,490
1302,square,7.883233333333333,77,incongruent,correct,399
1302,square,7.883233333333333,78,incongruent,correct,391
1302,square,7.883233333333333,79,congruent,correct,478
1302,square,7.883233333333333,80,incongruent,correct,3496
1302,square,7.883233333333333,81,incongruent,correct,414
1302,square,7.883233333333333,82,congruent,correct,299
1302,square,7.883233333333333,83,incongruent,correct,424
1302,square,7.883233333333333,84,congruent,correct,444
1302,square,7.883233333333333,85,congruent,correct,311
1302,square,7.883233333333333,86,congruent,correct,283
1302,square,7.883233333333333,87,incongruent,correct,459
1302,square,7.883233333333333,88,congruent,correct,282
1302,square,7.883233333333333,89,incongruent,correct,433
1302,square,7.883233333333333,90,incongruent,correct,363
1302,square,7.883233333333333,91,congruent,correct,378
1302,square,7.883233333333333,92,congruent,correct,329
1302,square,7.883233333333333,93,incongruent,correct,406
1302,square,7.883233333333333,94,congruent,correct,316
1302,square,7.883233333333333,95,incongruent,incorrect,338
1302,square,7.883233333333333,96,incongruent,correct,475
1302,square,7.883233333333333,97,incongruent,correct,363
1302,square,7.883233333333333,98,incongruent,incorrect,250
1302,square,7.883233333333333,99,congruent,correct,353
1302,square,7.883233333333333,100,congruent,correct,332
1301,square,9.036333333333333,1,congruent,correct,2177
1301,square,9.036333333333333,2,congruent,correct,1400
1301,square,9.036333333333333,3,incongruent,correct,780
1301,square,9.036333333333333,4,incongruent,correct,492
1301,square,9.036333333333333,5,congruent,correct,570
1301,square,9.036333333333333,6,congruent,correct,474
1301,square,9.036333333333333,7,incongruent,correct,523
1301,square,9.036333333333333,8,congruent,correct,499
1301,square,9.036333333333333,9,incongruent,incorrect,427
1301,square,9.036333333333333,10,congruent,incorrect,1529
1301,square,9.036333333333333,11,incongruent,incorrect,689
1301,square,9.036333333333333,12,congruent,correct,1919
1301,square,9.036333333333333,13,incongruent,correct,745
1301,square,9.036333333333333,14,incongruent,correct,564
1301,square,9.036333333333333,15,incongruent,correct,572
1301,square,9.036333333333333,16,congruent,correct,694
1301,square,9.036333333333333,17,incongruent,incorrect,1135
1301,square,9.036333333333333,18,congruent,correct,3666
1301,square,9.036333333333333,19,incongruent,correct,1930
1301,square,9.036333333333333,20,congruent,correct,572
1301,square,9.036333333333333,1,incongruent,correct,755
1301,square,9.036333333333333,2,incongruent,correct,560
1301,square,9.036333333333333,3,incongruent,correct,600
1301,square,9.036333333333333,4,incongruent,incorrect,842
1301,square,9.036333333333333,5,incongruent,incorrect,579
1301,square,9.036333333333333,6,congruent,incorrect,814
1301,square,9.036333333333333,7,congruent,correct,751
1301,square,9.036333333333333,8,congruent,correct,661
1301,square,9.036333333333333,9,incongruent,correct,677
1301,square,9.036333333333333,10,congruent,correct,1864
1301,square,9.036333333333333,11,congruent,correct,657
1301,square,9.036333333333333,12,incongruent,correct,808
1301,square,9.036333333333333,13,congruent,correct,548
1301,square,9.036333333333333,14,incongruent,incorrect,1717
1301,square,9.036333333333333,15,congruent,correct,1018
1301,square,9.036333333333333,16,congruent,correct,463
1301,square,9.036333333333333,17,congruent,correct,556
1301,square,9.036333333333333,18,incongruent,correct,857
1301,square,9.036333333333333,19,incongruent,correct,622
1301,square,9.036333333333333,20,incongruent,correct,581
1301,square,9.036333333333333,21,congruent,correct,517
1301,square,9.036333333333333,22,congruent,correct,412
1301,square,9.036333333333333,23,congruent,correct,366
