word,frequency,length,class,freq_singular,freq_plural,complex
almond,4.204693,6,plant,24,42,simplex
ant,5.347108,3,animal,69,140,simplex
apple,6.304449,5,plant,315,231,simplex
apricot,3.828641,7,plant,26,19,simplex
asparagus,3.663562,9,plant,19,19,simplex
avocado,3.433987,7,plant,24,6,simplex
badger,5.056246,6,animal,53,78,simplex
banana,5.023881,6,plant,74,77,simplex
bat,5.918894,3,animal,155,103,simplex
beaver,3.951244,6,animal,37,14,simplex
bee,5.700444,3,animal,118,180,simplex
beetroot,3.555348,8,plant,15,19,complex
blackberry,4.060443,10,plant,26,31,complex
blueberry,2.484907,9,plant,7,4,complex
broccoli,2.833213,8,plant,16,0,simplex
bunny,3.332205,5,animal,19,8,simplex
butterfly,5.214936,9,animal,88,95,complex
camel,6.109248,5,animal,146,303,simplex
carrot,4.976734,6,plant,45,99,simplex
cat,7.086738,3,animal,739,456,simplex
cherry,4.997212,6,plant,83,49,simplex
chicken,6.59987,7,animal,534,200,simplex
clove,3.663562,5,plant,16,22,simplex
crocodile,4.615121,9,animal,35,65,simplex
cucumber,4.454347,8,plant,54,31,simplex
dog,7.667626,3,animal,1233,828,simplex
dolphin,4.007333,7,animal,24,30,simplex
donkey,5.541264,6,animal,162,92,simplex
eagle,5.117994,5,animal,129,37,simplex
eggplant,1.791759,8,plant,4,1,complex
elephant,6.063785,8,animal,113,316,simplex
fox,5.652489,3,animal,177,100,simplex
frog,5.129899,4,animal,74,94,simplex
gherkin,2.079442,7,plant,4,3,simplex
goat,6.228511,4,animal,209,297,simplex
goose,5.267858,5,animal,103,85,simplex
grape,5.192957,5,plant,37,142,simplex
gull,4.418841,4,animal,23,59,simplex
hedgehog,3.637586,8,animal,21,16,simplex
horse,7.77191,5,animal,1518,854,simplex
kiwi,3.044522,4,plant,11,9,simplex
leek,3.332205,4,plant,5,22,simplex
lemon,5.631212,5,plant,233,45,simplex
lettuce,4.812184,7,plant,115,7,simplex
lion,6.098074,4,animal,152,292,simplex
magpie,2.995732,6,animal,13,6,simplex
melon,4.127134,5,plant,38,23,simplex
mole,4.60517,4,animal,69,30,simplex
monkey,5.783825,6,animal,162,162,simplex
moose,2.70805,5,animal,7,7,simplex
mouse,5.805135,5,animal,146,184,simplex
mushroom,5.537334,8,plant,90,137,simplex
mustard,4.442651,7,plant,84,0,simplex
olive,5.587249,5,plant,160,78,simplex
orange,6.378426,6,plant,258,93,simplex
owl,4.859812,3,animal,54,74,simplex
paprika,2.484907,7,plant,11,0,simplex
peanut,4.59512,6,plant,49,49,complex
pear,4.727388,4,plant,44,68,simplex
pig,6.660575,3,animal,320,460,simplex
pigeon,5.26269,6,animal,38,154,simplex
pineapple,3.988984,9,plant,44,9,complex
potato,6.461468,6,plant,206,433,simplex
radish,3.044522,6,plant,11,9,simplex
reindeer,4.043051,8,animal,28,28,complex
shark,5.880533,5,animal,246,111,simplex
sheep,6.577861,5,animal,359,359,simplex
snake,6.120297,5,animal,251,161,simplex
spider,4.844187,6,animal,73,53,simplex
squid,3.970292,5,animal,23,29,simplex
squirrel,4.70953,8,animal,63,47,simplex
stork,3.044522,5,animal,13,7,simplex
strawberry,4.75359,10,plant,50,65,complex
swan,4.962845,4,animal,88,46,simplex
tomato,5.545177,6,plant,123,132,simplex
tortoise,4.624973,8,animal,71,30,simplex
vulture,4.248495,7,animal,21,48,simplex
walnut,4.49981,6,plant,70,19,simplex
wasp,4.682131,4,animal,43,64,simplex
whale,5.298317,5,animal,104,95,simplex
woodpecker,2.890372,10,animal,11,6,complex
