song_id,performer,song,spotify_genre,danceability,loudness,speechiness,valence,spotify_track_popularity
Midnight WindJohn Stewart,John Stewart,Midnight Wind,['country rock'],0.6,-11.668,0.0293,0.316,9
The FixerPearl Jam,Pearl Jam,The Fixer,"['alternative rock', 'grunge', 'permanent wave', 'post-grunge', 'rock']",0.531,-5.013,0.0397,0.9,60
King KuntaKendrick Lamar,Kendrick Lamar,King Kunta,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.884,-4.569,0.0977,0.489,75
Shout Out To My ExLittle Mix,Little Mix,Shout Out To My Ex,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",0.773,-4.061,0.0889,0.8,78
Don'tBilly Currington,Billy Currington,Don't,"['contemporary country', 'country', 'country road', 'modern country rock']",0.503,-4.039,0.0524,0.448,67
You're My EverythingThe Temptations,The Temptations,You're My Everything,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']",0.582,-10.414,0.0286,0.675,38
AustinBlake Shelton,Blake Shelton,Austin,"['contemporary country', 'country', 'country road', 'oklahoma country']",0.605,-7.063,0.0278,0.275,63
HeroesCommodores,Commodores,Heroes,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.54,-12.609,0.0355,0.364,14
Coffee BeanTravis Scott,Travis Scott,Coffee Bean,['rap'],0.81,-5.098,0.125,0.503,72
Here's To The NightEve 6,Eve 6,Here's To The Night,"['alternative metal', 'alternative rock', 'pop rock', 'post-grunge']",0.583,-6.255,0.0244,0.352,57
You Are The Sunshine Of My LifeStevie Wonder,Stevie Wonder,You Are The Sunshine Of My Life,"['adult standards', 'motown', 'quiet storm', 'soul']",0.519,-14.53,0.0688,0.675,71
XXX.Kendrick Lamar Featuring U2,Kendrick Lamar Featuring U2,XXX.,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.568,-6.899,0.414,0.293,68
SurvivalismNine Inch Nails,Nine Inch Nails,Survivalism,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",0.622,-5.592,0.0805,0.388,40
Remind Me To ForgetKygo Featuring Miguel,Kygo Featuring Miguel,Remind Me To Forget,"['edm', 'pop', 'tropical house']",0.685,-6.4,0.0987,0.315,76
"Don't Think Twice, It's All RightPeter, Paul & Mary","Peter, Paul & Mary","Don't Think Twice, It's All Right","['a cappella', 'viral pop']",0.437,-22.533,0.0307,0.544,58
Night ChangesOne Direction,One Direction,Night Changes,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",0.672,-7.747,0.0353,0.37,77
Right NowVan Halen,Van Halen,Right Now,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",0.529,-11.745,0.0273,0.302,53
UpCardi B,Cardi B,Up,"['dance pop', 'pop', 'pop rap', 'rap']",0.868,-6.044,0.269,0.819,89
He Don't Really Love YouThe Delfonics,The Delfonics,He Don't Really Love You,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",0.558,-7.259,0.0253,0.827,10
AliveP.O.D.,P.O.D.,Alive,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",0.421,-3.985,0.0768,0.553,64
For YouMichael W. Smith,Michael W. Smith,For You,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",0.425,-9.707,0.0279,0.208,48
InformerSnow,Snow,Informer,[],0.763,-10.975,0.188,0.483,65
Melancholy Music ManThe Righteous Brothers,The Righteous Brothers,Melancholy Music Man,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'motown', 'rock-and-roll']",0.399,-8.267,0.0282,0.463,5
Coming Down From LoveBobby Caldwell,Bobby Caldwell,Coming Down From Love,['yacht rock'],0.492,-12.935,0.0394,0.735,26
Nail It To The WallStacy Lattisaw,Stacy Lattisaw,Nail It To The Wall,"['disco', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']",0.713,-7.16,0.0401,0.936,9
DJ Got Us Fallin' In LoveUsher Featuring Pitbull,Usher Featuring Pitbull,DJ Got Us Fallin' In Love,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",0.663,-3.398,0.109,0.654,79
8th Of NovemberBig & Rich,Big & Rich,8th Of November,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.259,-2.665,0.0418,0.284,49
So YesterdayHilary Duff,Hilary Duff,So Yesterday,"['dance pop', 'pop', 'post-teen pop']",0.547,-3.752,0.0808,0.771,56
Spy In The House Of LoveWas (Not Was),Was (Not Was),Spy In The House Of Love,[],0.742,-12.378,0.0291,0.96,15
Save The Last Dance For MeThe Drifters,The Drifters,Save The Last Dance For Me,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",0.54,-10.583,0.0361,0.896,62
Your LoveKeith Sweat,Keith Sweat,Your Love,"['dance pop', 'funk', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.574,-14.227,0.0537,0.496,46
Met GalaGucci Mane Featuring Offset,Gucci Mane Featuring Offset,Met Gala,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.817,-6.502,0.108,0.352,66
Good GuyEminem Featuring Jessie Reyez,Eminem Featuring Jessie Reyez,Good Guy,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",0.696,-6.918,0.281,0.728,70
iPHONEDaBaby & Nicki Minaj,DaBaby & Nicki Minaj,iPHONE,"['nc hip hop', 'rap']",0.733,-6.409,0.266,0.305,71
