StartDate,EndDate,Progress,Duration (in seconds),RecordedDate,ResponseId,DistributionChannel,UserLanguage,Condition,Condition_name,Allergy_DV,Allergy_punish_no_punish,Const_DV,Constr_punish_no_punish,Law_opinion,Gender,Age,Lang,Uni,Uni_name,Education_group,Group_code,Main_studies,Semester,Advanced,Other_studies1,Other_studies2,Technical_problems
2021-01-22T07:44:32Z,2021-01-22T07:47:55Z,100,202,2021-01-22T07:47:55Z,R_wSu2Yr7DiCjXqed,anonymous,DE,0,No Harm,3,1,5,1,6,2,50,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:45:02Z,2021-01-22T07:47:56Z,100,173,2021-01-22T07:47:56Z,R_3oGVASV3PfHgzTI,anonymous,DE,1,Harm,10,1,20,1,12,1,49,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:46:11Z,2021-01-22T07:49:29Z,100,198,2021-01-22T07:49:30Z,R_0Ur3yLhoHi8UmZj,anonymous,DE,0,No Harm,10,1,15,1,15,1,35,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:45:46Z,2021-01-22T07:50:07Z,100,260,2021-01-22T07:50:08Z,R_29iAQMKCHZqU1BR,anonymous,DE,0,No Harm,0,0,0,0,10,2,58,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:45:56Z,2021-01-22T07:50:55Z,100,299,2021-01-22T07:50:56Z,R_DBtjlgd7E3SY3El,anonymous,DE,1,Harm,10,1,10,1,10,1,57,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:46:00Z,2021-01-22T07:51:00Z,100,299,2021-01-22T07:51:00Z,R_3DejBOplywjDvng,anonymous,DE,1,Harm,2,1,2,1,2,1,39,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:46:46Z,2021-01-22T07:51:24Z,100,277,2021-01-22T07:51:24Z,R_29oYwGPnzKHjGW4,anonymous,DE,0,No Harm,10,1,10,1,10,2,29,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:47:19Z,2021-01-22T07:52:35Z,100,316,2021-01-22T07:52:35Z,R_28GnKiqagWzigU7,anonymous,DE,0,No Harm,2,1,10,1,8,2,28,1,2,none,none,4,0,NA,NA,NA,NA,Es gab keine Probleme
2021-01-22T07:47:22Z,2021-01-22T07:52:39Z,100,316,2021-01-22T07:52:39Z,R_3J2vuV05WQBUe2g,anonymous,DE,1,Harm,25,1,2,1,2,2,49,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:49:17Z,2021-01-22T07:52:57Z,100,220,2021-01-22T07:52:57Z,R_2wSr4HjIYNK9R6k,anonymous,DE,0,No Harm,10,1,10,1,7,2,49,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:49:40Z,2021-01-22T07:53:14Z,100,214,2021-01-22T07:53:14Z,R_d6T4IUg1LoE9yed,anonymous,DE,1,Harm,2,1,0,0,5,2,29,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:49:00Z,2021-01-22T07:53:30Z,100,270,2021-01-22T07:53:31Z,R_2aRBGg0YdJDw0Gs,anonymous,DE,0,No Harm,10,1,10,1,12,1,55,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:53:26Z,2021-01-22T07:54:47Z,100,80,2021-01-22T07:54:47Z,R_1mQTkfApcrYvNBG,anonymous,DE,1,Harm,1,1,0,0,3,2,37,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:47:09Z,2021-01-22T07:55:09Z,100,480,2021-01-22T07:55:10Z,R_30lgc9IV15OQVHU,anonymous,DE,0,No Harm,2,1,5,1,5,1,37,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:55:17Z,2021-01-22T07:56:26Z,100,69,2021-01-22T07:56:26Z,R_2Yti19ZdyQHOUB3,anonymous,DE,0,No Harm,4,1,4,1,4,1,47,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:46:14Z,2021-01-22T07:56:38Z,100,624,2021-01-22T07:56:38Z,R_w73695N6Ke4Zbd7,anonymous,DE,1,Harm,20,1,20,1,10,2,56,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:54:54Z,2021-01-22T07:58:00Z,100,186,2021-01-22T07:58:00Z,R_2dxTWUZsMrMchIj,anonymous,DE,1,Harm,5,1,5,1,1,2,35,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:56:37Z,2021-01-22T07:59:30Z,100,172,2021-01-22T07:59:30Z,R_3D6GVt4BXaWIhFM,anonymous,DE,0,No Harm,3,1,3,1,3,1,54,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T07:55:38Z,2021-01-22T08:02:32Z,100,414,2021-01-22T08:02:33Z,R_3F2R2JbSQEohefa,anonymous,DE,1,Harm,0,0,15,1,10,1,28,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T08:37:21Z,2021-01-22T08:42:38Z,100,317,2021-01-22T08:42:38Z,R_ZxiQue9dtr3QddD,anonymous,DE,1,Harm,10,1,10,1,10,1,25,1,2,none,none,4,0,NA,NA,NA,NA,NA
2021-01-22T08:49:29Z,2021-01-22T08:51:35Z,100,126,2021-01-22T08:51:36Z,R_qxuwLF4Wj7nwLPb,anonymous,DE,1,Harm,1,1,5,1,5,2,43,1,2,none,none,4,0,NA,NA,NA,NA,NA
