StartDate,EndDate,Progress,Duration (in seconds),RecordedDate,ResponseId,DistributionChannel,UserLanguage,Condition,Condition_name,Allergy_DV,Allergy_punish_no_punish,Const_DV,Constr_punish_no_punish,Law_opinion,Gender,Age,Lang,Uni,Uni_name,Education_group,Group_code,Main_studies,Semester,Advanced,Other_studies1,Other_studies2,Technical_problems
1/22/21 7:44,1/22/21 7:47,100,202,1/22/21 7:47,R_wSu2Yr7DiCjXqed,anonymous,DE,0,No Harm,3,1,5,1,6,2,50,1,2,none,none,4,0,,,,,
1/22/21 7:45,1/22/21 7:47,100,173,1/22/21 7:47,R_3oGVASV3PfHgzTI,anonymous,DE,1,Harm,10,1,20,1,12,1,49,1,2,none,none,4,0,,,,,
1/22/21 7:46,1/22/21 7:49,100,198,1/22/21 7:49,R_0Ur3yLhoHi8UmZj,anonymous,DE,0,No Harm,10,1,15,1,15,1,35,1,2,none,none,4,0,,,,,
1/22/21 7:45,1/22/21 7:50,100,260,1/22/21 7:50,R_29iAQMKCHZqU1BR,anonymous,DE,0,No Harm,0,0,0,0,10,2,58,1,2,none,none,4,0,,,,,
1/22/21 7:45,1/22/21 7:50,100,299,1/22/21 7:50,R_DBtjlgd7E3SY3El,anonymous,DE,1,Harm,10,1,10,1,10,1,57,1,2,none,none,4,0,,,,,
1/22/21 7:46,1/22/21 7:51,100,299,1/22/21 7:51,R_3DejBOplywjDvng,anonymous,DE,1,Harm,2,1,2,1,2,1,39,1,2,none,none,4,0,,,,,
1/22/21 7:46,1/22/21 7:51,100,277,1/22/21 7:51,R_29oYwGPnzKHjGW4,anonymous,DE,0,No Harm,10,1,10,1,10,2,29,1,2,none,none,4,0,,,,,
1/22/21 7:47,1/22/21 7:52,100,316,1/22/21 7:52,R_28GnKiqagWzigU7,anonymous,DE,0,No Harm,2,1,10,1,8,2,28,1,2,none,none,4,0,,,,,Es gab keine Probleme 
1/22/21 7:47,1/22/21 7:52,100,316,1/22/21 7:52,R_3J2vuV05WQBUe2g,anonymous,DE,1,Harm,25,1,2,1,2,2,49,1,2,none,none,4,0,,,,,
1/22/21 7:49,1/22/21 7:52,100,220,1/22/21 7:52,R_2wSr4HjIYNK9R6k,anonymous,DE,0,No Harm,10,1,10,1,7,2,49,1,2,none,none,4,0,,,,,
1/22/21 7:49,1/22/21 7:53,100,214,1/22/21 7:53,R_d6T4IUg1LoE9yed,anonymous,DE,1,Harm,2,1,0,0,5,2,29,1,2,none,none,4,0,,,,,
1/22/21 7:49,1/22/21 7:53,100,270,1/22/21 7:53,R_2aRBGg0YdJDw0Gs,anonymous,DE,0,No Harm,10,1,10,1,12,1,55,1,2,none,none,4,0,,,,,
1/22/21 7:53,1/22/21 7:54,100,80,1/22/21 7:54,R_1mQTkfApcrYvNBG,anonymous,DE,1,Harm,1,1,0,0,3,2,37,1,2,none,none,4,0,,,,,
1/22/21 7:47,1/22/21 7:55,100,480,1/22/21 7:55,R_30lgc9IV15OQVHU,anonymous,DE,0,No Harm,2,1,5,1,5,1,37,1,2,none,none,4,0,,,,,
1/22/21 7:55,1/22/21 7:56,100,69,1/22/21 7:56,R_2Yti19ZdyQHOUB3,anonymous,DE,0,No Harm,4,1,4,1,4,1,47,1,2,none,none,4,0,,,,,
1/22/21 7:46,1/22/21 7:56,100,624,1/22/21 7:56,R_w73695N6Ke4Zbd7,anonymous,DE,1,Harm,20,1,20,1,10,2,56,1,2,none,none,4,0,,,,,
1/22/21 7:54,1/22/21 7:58,100,186,1/22/21 7:58,R_2dxTWUZsMrMchIj,anonymous,DE,1,Harm,5,1,5,1,1,2,35,1,2,none,none,4,0,,,,,
1/22/21 7:56,1/22/21 7:59,100,172,1/22/21 7:59,R_3D6GVt4BXaWIhFM,anonymous,DE,0,No Harm,3,1,3,1,3,1,54,1,2,none,none,4,0,,,,,
1/22/21 7:55,1/22/21 8:02,100,414,1/22/21 8:02,R_3F2R2JbSQEohefa,anonymous,DE,1,Harm,0,0,15,1,10,1,28,1,2,none,none,4,0,,,,,
1/22/21 8:37,1/22/21 8:42,100,317,1/22/21 8:42,R_ZxiQue9dtr3QddD,anonymous,DE,1,Harm,10,1,10,1,10,1,25,1,2,none,none,4,0,,,,,
1/22/21 8:49,1/22/21 8:51,100,126,1/22/21 8:51,R_qxuwLF4Wj7nwLPb,anonymous,DE,1,Harm,1,1,5,1,5,2,43,1,2,none,none,4,0,,,,,
1/22/21 8:49,1/22/21 8:54,100,293,1/22/21 8:54,R_AdMhtLDJ6vOvTq1,anonymous,DE,0,No Harm,5,1,10,1,5,2,32,1,2,none,none,4,0,,,,,
1/22/21 8:50,1/22/21 8:54,100,269,1/22/21 8:54,R_24CzhY397msglHA,anonymous,DE,1,Harm,0,0,0,0,5,2,42,1,2,none,none,4,0,,,,,
1/22/21 8:50,1/22/21 8:54,100,230,1/22/21 8:54,R_8kb6DpfSPOUuk8x,anonymous,DE,1,Harm,7,1,7,1,5,2,21,1,2,none,none,4,0,,,,,
1/22/21 8:52,1/22/21 8:55,100,187,1/22/21 8:55,R_cMGLCN6SfD5bWff,anonymous,DE,0,No Harm,25,1,25,1,15,1,30,1,2,none,none,4,0,,,,,
1/22/21 8:51,1/22/21 8:56,100,273,1/22/21 8:56,R_2qsyyVgZzXfXQfw,anonymous,DE,1,Harm,6,1,6,1,3,2,21,1,2,none,none,4,0,,,,,
1/22/21 8:51,1/22/21 8:56,100,343,1/22/21 8:56,R_1ri8WcumtoqQwgY,anonymous,DE,0,No Harm,0,0,5,1,10,1,41,1,2,none,none,4,0,,,,,
1/22/21 8:55,1/22/21 8:57,100,115,1/22/21 8:57,R_qCwvtFffBCtxtG9,anonymous,DE,1,Harm,10,1,5,1,10,2,30,1,2,none,none,4,0,,,,,
1/22/21 8:55,1/22/21 8:57,100,125,1/22/21 8:57,R_3KOTTkm6UOCt5kQ,anonymous,DE,0,No Harm,6,1,12,1,1,1,32,1,2,none,none,4,0,,,,,
1/22/21 8:50,1/22/21 8:58,100,451,1/22/21 8:58,R_3MAxzHnjY25qr5M,anonymous,DE,1,Harm,15,1,15,1,5,1,48,1,2,none,none,4,0,,,,,Keine Vorkomnisse
1/22/21 8:52,1/22/21 8:58,100,378,1/22/21 8:58,R_ePvEqielhMBbG0h,anonymous,DE,1,Harm,3,1,3,1,5,2,34,1,2,none,none,4,0,,,,,
1/22/21 8:52,1/22/21 8:59,100,410,1/22/21 8:59,R_2Y9REbNxTx49H5R,anonymous,DE,0,No Harm,15,1,15,1,10,1,32,1,2,none,none,4,0,,,,,
1/22/21 8:55,1/22/21 8:59,100,243,1/22/21 8:59,R_3g0B3fE0SggDxFy,anonymous,DE,1,Harm,5,1,2,1,5,2,40,1,2,none,none,4,0,,,,,Keine 
1/22/21 8:56,1/22/21 8:59,100,184,1/22/21 8:59,R_BJvVtTsZMcZkrjX,anonymous,DE,0,No Harm,2,1,15,1,5,1,31,1,2,none,none,4,0,,,,,
1/22/21 8:56,1/22/21 9:01,100,291,1/22/21 9:01,R_2dhxBgLX5Abbo8C,anonymous,DE,1,Harm,25,1,25,1,5,1,33,1,2,none,none,4,0,,,,,
1/22/21 8:57,1/22/21 9:02,100,271,1/22/21 9:02,R_2EBnWoHJUENaGhw,anonymous,DE,1,Harm,0,0,0,0,2,2,55,1,2,none,none,4,0,,,,,
1/22/21 8:58,1/22/21 9:02,100,214,1/22/21 9:02,R_3luL6ykQCmIHNIn,anonymous,DE,0,No Harm,5,1,5,1,5,1,39,1,2,none,none,4,0,,,,,
1/22/21 9:00,1/22/21 9:04,100,204,1/22/21 9:04,R_2cp9lUMQv7Unkro,anonymous,DE,1,Harm,0,0,1,1,2,2,27,1,2,none,none,4,0,,,,,
1/22/21 9:02,1/22/21 9:06,100,277,1/22/21 9:06,R_5zfVAslFq5YsDPX,anonymous,DE,0,No Harm,2,1,10,1,12,1,35,1,2,none,none,4,0,,,,,
1/22/21 9:06,1/22/21 9:07,100,63,1/22/21 9:07,R_5vfxnx5pALuZLl7,anonymous,DE,1,Harm,10,1,10,1,10,1,25,1,2,none,none,4,0,,,,,
1/22/21 9:04,1/22/21 9:07,100,230,1/22/21 9:07,R_wTc0etuWCgh7QpX,anonymous,DE,1,Harm,10,1,10,1,10,1,39,1,2,none,none,4,0,,,,,
1/22/21 9:05,1/22/21 9:10,100,311,1/22/21 9:10,R_3EszFjdN8V7TQ5p,anonymous,DE,0,No Harm,15,1,15,1,5,1,57,1,2,none,none,4,0,,,,,alles in Ordnung
1/22/21 9:05,1/22/21 9:11,100,316,1/22/21 9:11,R_1GwfwNzLLFuXzbI,anonymous,DE,1,Harm,5,1,5,1,2,1,45,1,2,none,none,4,0,,,,,nein
1/22/21 9:07,1/22/21 9:11,100,235,1/22/21 9:11,R_eJqYKeagAdugvKh,anonymous,DE,1,Harm,15,1,15,1,5,1,38,1,2,none,none,4,0,,,,,
1/22/21 9:05,1/22/21 9:11,100,404,1/22/21 9:11,R_3Ea452r4Ta5z5AD,anonymous,DE,0,No Harm,3,1,3,1,5,1,58,1,2,none,none,4,0,,,,,"Man fragt sich, wie diese Tötungsversuche überhaupt aufgefallen und zur Anklage gekommen sind?"
1/22/21 9:07,1/22/21 9:11,100,248,1/22/21 9:11,R_1JL9XrIWUlmvSAO,anonymous,DE,0,No Harm,8,1,5,1,3,1,54,1,2,none,none,4,0,,,,,
1/22/21 9:10,1/22/21 9:13,100,166,1/22/21 9:13,R_1EbzgHe6syh0v5V,anonymous,DE,0,No Harm,25,1,25,1,10,2,43,1,2,none,none,4,0,,,,,
1/22/21 9:08,1/22/21 9:14,100,349,1/22/21 9:14,R_1qgrrOLnYRhSLlc,anonymous,DE,1,Harm,0,0,0,0,5,1,37,1,2,none,none,4,0,,,,,
1/22/21 9:05,1/22/21 9:14,100,584,1/22/21 9:15,R_OcVbosqFrjl1fgJ,anonymous,DE,0,No Harm,1,1,0,0,1,1,57,1,2,none,none,4,0,,,,,es gab keine Probleme.
1/22/21 9:10,1/22/21 9:15,100,314,1/22/21 9:15,R_238JAzP6AfTLLbA,anonymous,DE,1,Harm,20,1,20,1,20,1,40,1,2,none,none,4,0,,,,,
